Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Latitude,Longitude,Balancing Authority Code
57273,SS San Antonio West LLC,57904,San Antonio West Solar Rooftop,CA,Riverside,CHNO,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,8,2012,,N,,Y,,,,,,,180.0,20.0,1.9,Y,,,,,,N, ,N, ,33.965617,-117.659059,CISO
49893,Invenergy Services LLC,57959,Desert Green Solar Farm LLC,CA,San Diego,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,6.3,6.3,6.3,11,2014,N,,Y,,,,,,,, , ,8.9,,,,,,Y,N, ,N, ,33.27055,-116.34805,CISO
57345,Butte-Glenn Community College District,57970,Butte College Main Campus Solar,CA,Butte,SOL1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,3.5,3.2,3.1,7,2011,,,,Y,,,,,,,195.0,18.0,4.5,Y,,,,,,Y,4.5,N, ,39.648056,-121.644167,CISO
62060,CleanCapital,57982,Meridian Vineyards,CA,San Luis Obispo,PV-1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2010,,,,Y,,,,,,,180.0,30.0,0.6,Y,,,,,,Y,0.6,N, ,35.670278,-120.566944,CISO
62060,CleanCapital,57982,Meridian Vineyards,CA,San Luis Obispo,PV-2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.6,0.6,0.6,12,2010,,,,Y,,,,,,,180.0,30.0,0.7,Y,,,,,,Y,0.7,N, ,35.670278,-120.566944,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,40.3,40.3,40.3,11,2013,,,,Y,,,,,,,120.0,22.5,44.9,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL10,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.2,30.2,30.2,11,2013,,,,Y,,,,,,,120.0,22.5,37.9,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL11,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20.2,20.2,20.2,11,2013,,,,Y,,,,,,,120.0,22.5,25.3,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,40.3,40.3,40.3,11,2013,,,,Y,,,,,,,120.0,22.5,54.4,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,40.3,40.3,40.3,11,2013,,,,Y,,,,,,,120.0,22.5,52.0,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,30.2,30.2,30.2,11,2013,,,,Y,,,,,,,120.0,22.5,39.0,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,25.2,25.2,25.2,6,2014,,,,Y,,,,,,,120.0,22.5,33.0,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,25.2,25.2,25.2,8,2014,,,,Y,,,,,,,120.0,22.5,33.0,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20.2,20.2,20.2,8,2014,,,,Y,,,,,,,120.0,22.5,26.4,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL8,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,18.9,18.9,18.9,10,2014,,,,Y,,,,,,,120.0,22.5,24.7,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
58289,"NextEra Energy Desert Sunlight 300, LLC",57993,"Desert Sunlight 300, LLC",CA,Riverside,DSL9,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,22.7,22.7,22.7,10,2014,,,,Y,,,,,,,120.0,22.5,28.4,,Y,,,,,N, ,N, ,33.823056,-115.393889,CISO
56769,Consolidated Edison Development Inc.,58002,Alpaugh North,CA,Tulare,SPS,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20.0,20.0,20.0,12,2012,,Y,,,,,,,,,0.0,0.0,26.0,Y,,,,,,N, ,N, ,35.9025,-119.442778,CISO
